Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1467350502_1.IMG,ISS_000RI_ARINGLIT001_PRIME,2004-183T04:57:27.142,260,140405.58,23.801,140349.66,23.877,Classic - bright head,126.21727
N1492066743_1.IMG,ISS_006RI_LPHRLFMOV001_PRIME,2005-103T06:28:25.137,1200,140485.97,43.531,140423.66,43.593,Extended Object,37.42916
N1493639016a_1.IMG,ISS_007RI_LPHRLFMOV001_PRIME,2005-121T11:16:30.553,180,139952.83,226.368,139921.01,226.315,Complex,32.43317
N1493639016b_1.IMG,ISS_007RI_LPHRLFMOV001_PRIME,2005-121T11:16:30.553,181,0,0,139930.84,224.873,Complex,32.43317
N1495325540a_1.IMG,ISS_008RI_RDHRCOMP001_PRIME,2005-140T23:45:02.534,2600,139896.62,275.957,139885.8,276.03,Complex,13.22279
N1495325540b_1.IMG,ISS_008RI_RDHRCOMP001_PRIME,2005-140T23:45:02.534,2601,139870.3,275.124,139887.85,274.902,Complex,13.16597
N1498727393_1.IMG,ISS_010SA_REGAURORA001_VIMS,2005-180T08:42:12.878,4600,140571.29,162.051,140505.13,162.253,Classic,99.31265
N1498730990_1.IMG,ISS_010SA_REGAURORA001_VIMS,2005-180T09:46:09.853,4600,140706.06,160.522,140498.86,161.144,Extended Object,98.94869
N1501710723_1.IMG,ISS_012OT_RETHIEQPL001_PRIME,2005-214T21:24:00.063,12000,139850.34,126.34,139887.2,126.329,Extended Object,146.35599
N1503280408a_1.IMG,ISS_013RI_AZSCNHIPH003_PRIME,2005-233T01:25:20.936,120,140081.12,113.923,140093.12,113.848,Complex,151.26302
N1503280408b_1.IMG,ISS_013RI_AZSCNHIPH003_PRIME,2005-233T01:25:20.936,121,140107.24,108.888,140136.33,108.868,Complex,151.26302
N1503287403_1.IMG,ISS_013RI_AZSCNHIPH004_PRIME,2005-233T03:21:55.876,150,140118.44,107.428,140157.66,107.375,Classic,145.40734
N1503915081_1.IMG,ISS_013OT_SATELLORB038_PRIME,2005-240T09:43:09.622,680,139990.57,179.332,139903.29,179.441,Extended Object,78.29811
W1504631966_1.IMG,IOSIC_014RI_SUBMU12HP001_SI,2005-248T16:51:10.281,150,140649.75,326.303,140286.29,326.143,Extended Object,144.15216
N1537877405_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:38:15.743,1000,139901.62,176.678,139915.85,176.679,Extended Object,100.2609
N1537877613_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:41:43.742,1000,139893.29,175.487,139904.74,175.48,Classic,99.9877
N1537878025_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:48:35.739,1000,139890.64,172.252,139904.09,172.244,Classic,99.34969
N1537878429a_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:55:19.737,998,139975.1,170.841,139994.69,170.843,Extended Object,98.78906
N1537878429b_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:55:19.737,999,139987.82,170.642,139994.24,170.637,Classic,98.77267
N1537878429c_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:55:19.737,1000,139990.78,170.011,139997.27,170.01,Classic,98.72149
N1537878628_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T11:58:38.735,1000,139892.76,168.645,139898.91,168.476,Classic,98.31745
N1537882528a_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T13:03:38.710,1000,139931.48,153.229,139946.17,153.227,Extended Object,89.83348
